brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
Enchanted,40,48,2,4,keywords,styles
Enivrante,28,48,1,11,keywords,styles
Esmara Lingerie,34,42,1,4,keywords,styles
Esotiq,30,44,1,8,keywords,styles
Espoul,30,34,2,8,keywords,styles
Esprit,32,38,1,6,keywords,styles
Essential Bodywear,32,44,1,8,keywords,styles
Etam,30,40,1,5,keywords,styles
Evollove,30,44,1,10,keywords,styles
Ewa Bien,28,44,1,13,keywords,styles
Ewa Michalak,24,60,0,16,keywords,styles
Exquisite Form,34,48,2,5,keywords,styles
F&f,32,40,1,7,keywords,styles
Fancee Free,34,50,4,12,keywords,styles
Fandecie By Embryform,32,38,1,3,keywords,styles
Fantasie,30,44,2,11,keywords,styles
Fashion Bug,36,46,3,6,keywords,styles
Fashion Forms,32,40,1,5,keywords,styles
Faubourg,28,38,4,9,keywords,styles
Fauve,28,40,2,8,keywords,styles
Fayreform,30,54,1,10,keywords,styles
Felina,30,48,1,8,keywords,styles
Femilet,30,38,1,8,keywords,styles
Femina,32,40,2,6,keywords,styles
Fifty Shades Darker By Coco De M,30,38,1,5,keywords,styles
Figleaves,30,38,1,10,keywords,styles
Figleaves Active,30,38,4,7,keywords,styles
Figleaves Boudoir,30,38,1,7,keywords,styles
Figleaves Curve,36,48,2,6,keywords,styles
Figleaves Essence,30,38,2,8,keywords,styles
Figleaves Essentials,30,38,1,7,keywords,styles
Figleaves Swimwear,30,38,2,7,keywords,styles
Figurette,30,46,4,8,keywords,styles
Fine Lines,32,42,1,7,keywords,styles
Fit Fully Yours,28,50,0,13,keywords,styles
Fit: Figure Improving Technology,36,38,2,2,keywords,styles
Fleur Of England,28,36,1,7,keywords,styles
Flirtelle,28,44,4,11,keywords,styles
Flirtitude,32,38,1,4,keywords,styles
Floozie By Frost French,30,38,1,7,keywords,styles
Florange,32,42,1,7,keywords,styles
Folies De Renaud,30,38,1,5,keywords,styles
Forever21 Lingerie,32,36,1,4,keywords,styles
Fortnight,30,38,1,6,keywords,styles
Francesca,32,36,2,4,keywords,styles
Fräulein Annie,30,38,1,7,keywords,styles
Frederick's Of Hollywood,30,42,1,7,keywords,styles
Free People,32,36,1,5,keywords,styles
Fréolic,30,36,1,5,keywords,styles
Freya,28,40,2,11,keywords,styles
Freya Active,28,40,2,11,keywords,styles
Freya Swim,28,42,2,11,keywords,styles
Frilly,30,38,1,7,keywords,styles
Fruit Of The Loom,34,44,1,5,keywords,styles
Fruitvogue,32,42,2,5,keywords,styles
Full Embrace,30,40,5,11,keywords,styles
Full-filled,28,42,2,11,keywords,styles
Furelise Culture,32,38,5,10,keywords,styles
Gaia,30,48,1,12,keywords,styles
Gap,32,40,0,5,keywords,styles
Gelmart,32,34,4,4,keywords,styles
Gemm,30,52,1,10,keywords,styles
