brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
Timpa,32,38,1,5,keywords,styles
Title Nine,30,48,0,6,keywords,styles
Tomgirls,28,40,1,9,keywords,styles
Tommy Bahama,32,38,2,5,keywords,styles
Tommy Hilfiger,32,36,1,5,keywords,styles
Topshop,30,36,1,6,keywords,styles
Torrid,36,50,2,9,keywords,styles
Treasure Chest,34,42,4,10,keywords,styles
Triola,30,44,2,11,keywords,styles
Triumph,30,50,0,11,keywords,styles
Trofé,30,44,1,6,keywords,styles
True & Co,32,38,1,6,keywords,styles
Trusst Lingerie,28,40,5,11,keywords,styles
Truth Or Dare By Madonna,32,36,1,4,keywords,styles
Trylo,30,50,2,10,keywords,styles
Tustela,32,40,1,5,keywords,styles
Tutti Rouge,28,48,4,10,keywords,styles
Tutu Anna,30,34,1,8,keywords,styles
Tweens,30,44,2,4,keywords,styles
Twilfit,30,44,0,8,keywords,styles
Twin Lingerie,28,44,1,8,keywords,styles
Ulla Dessous,30,56,2,14,keywords,styles
Ulla Popken,38,52,2,7,keywords,styles
Ultimate Body,30,44,2,7,keywords,styles
Ultimo,30,38,1,7,keywords,styles
Un:usual,30,44,2,7,keywords,styles
Under Armour,30,40,1,5,keywords,styles
Underella By Ella Moss,30,36,2,5,keywords,styles
Undiz,30,38,1,5,keywords,styles
Unikat,30,48,1,10,keywords,styles
Unknown Brand,28,54,1,12,keywords,styles
Unno Sport,32,38,6,6,keywords,styles
Untold,30,38,2,7,keywords,styles
Upbra,30,38,1,6,keywords,styles
Urban Bird Clothing,24,34,1,7,keywords,styles
Uye Surana,26,38,1,7,keywords,styles
Va Bien,32,46,1,9,keywords,styles
Valbonne,34,44,1,5,keywords,styles
Valea,30,46,1,9,keywords,styles
Valeria,30,54,1,10,keywords,styles
Valmont,34,48,2,5,keywords,styles
Vanity Fair,30,44,2,7,keywords,styles
Vanjo,28,30,5,7,keywords,styles
Variance,30,38,1,4,keywords,styles
Vassarette,32,42,1,5,keywords,styles
Vena,30,42,2,11,keywords,styles
Vera Wang,34,38,2,5,keywords,styles
Vestiva,30,42,2,11,keywords,styles
Viania,32,42,1,5,keywords,styles
Victoria's Secret,30,44,0,7,keywords,styles
Viola,32,42,2,5,keywords,styles
Vivisence,32,48,2,8,keywords,styles
Von Follies,32,46,1,6,keywords,styles
Wacoal,30,46,0,9,keywords,styles
Wacoal Japan,30,38,1,8,keywords,styles
Wacoal Luxe,32,38,2,6,keywords,styles
Wacoal Parfage,30,34,2,7,keywords,styles
Wacoal Taiwan,32,40,1,5,keywords,styles
Walmart,34,38,1,3,keywords,styles
Warner's,32,42,1,5,keywords,styles
Wear My Freedom,28,40,3,9,keywords,styles
Wellfitting,26,50,1,17,keywords,styles
Werso,30,54,1,12,keywords,styles
What Katie Did,30,40,1,7,keywords,styles
Whimsy,32,48,2,7,keywords,styles
Wiesmann,30,42,1,11,keywords,styles
Wolf & Whistle,30,36,2,7,keywords,styles
Wolford,32,40,1,5,keywords,styles
Wonderbra,28,44,1,6,keywords,styles
Wonderbra Canada,34,46,1,6,keywords,styles
Xhilaration,32,38,0,5,keywords,styles
Yamamay,30,38,2,3,keywords,styles
Yandy,30,38,1,6,keywords,styles
Yes Master,32,36,4,7,keywords,styles
"You,miss!",32,42,1,5,keywords,styles
You! Lingerie,32,38,1,10,keywords,styles
Yours Clothing,36,58,2,10,keywords,styles
Zenegirl,32,38,1,4,keywords,styles
Zoggs,28,40,4,8,keywords,styles
